item_id,brand,category_name,price
1001588,meizu,electronics.smartphone,127.87
1002101,samsung,electronics.smartphone,370.64
1002482,meizu,electronics.smartphone,127.87
1002524,apple,electronics.smartphone,531.26
1002528,apple,electronics.smartphone,617.52
1002532,apple,electronics.smartphone,532.57
1002536,apple,electronics.smartphone,566.04
1002542,apple,electronics.smartphone,486.80
1002544,apple,electronics.smartphone,458.28
1002547,apple,electronics.smartphone,465.91
1002629,apple,electronics.smartphone,358.31
1002633,apple,electronics.smartphone,358.31
1002876,samsung,electronics.smartphone,218.80
1002881,xiaomi,electronics.smartphone,253.88
1002974,huawei,electronics.smartphone,149.30
1003221,nokia,electronics.smartphone,128.43
1003304,apple,electronics.smartphone,591.25
1003305,apple,electronics.smartphone,599.23
1003306,apple,electronics.smartphone,577.89
1003312,apple,electronics.smartphone,717.63
1003315,apple,electronics.smartphone,955.26
1003316,apple,electronics.smartphone,928.38
1003317,apple,electronics.smartphone,928.18
1003318,apple,electronics.smartphone,1052.77
1003339,xiaomi,electronics.smartphone,202.40
1003363,apple,electronics.smartphone,563.46
1003441,nokia,electronics.smartphone,406.67
1003461,xiaomi,electronics.smartphone,489.07
1003499,oneplus,electronics.smartphone,461.61
1003523,zte,electronics.smartphone,136.43
1003535,samsung,electronics.smartphone,460.50
1003549,samsung,electronics.smartphone,411.59
1003709,samsung,electronics.smartphone,563.70
1003712,samsung,electronics.smartphone,720.22
1003726,sony,electronics.smartphone,128.39
1003747,sony,electronics.smartphone,282.81
1003768,huawei,electronics.smartphone,485.54
1003772,huawei,electronics.smartphone,257.12
1003811,honor,electronics.smartphone,142.86
1003855,xiaomi,electronics.smartphone,127.61
1003869,xiaomi,electronics.smartphone,167.02
1003879,huawei,electronics.smartphone,540.27
1003883,xiaomi,electronics.smartphone,169.63
1003898,oneplus,electronics.smartphone,540.30
1003906,huawei,electronics.smartphone,149.52
1003907,huawei,electronics.smartphone,151.87
1003910,nokia,electronics.smartphone,118.10
1003934,lg,electronics.smartphone,344.90
1004019,xiaomi,electronics.smartphone,118.02
1004026,xiaomi,electronics.smartphone,140.82
1004035,nokia,electronics.smartphone,128.42
1004038,xiaomi,electronics.smartphone,154.26
1004042,xiaomi,electronics.smartphone,138.74
1004060,xiaomi,electronics.smartphone,320.42
1004104,bq,electronics.smartphone,172.79
1004121,meizu,electronics.smartphone,257.15
1004129,xiaomi,electronics.smartphone,149.30
1004136,xiaomi,electronics.smartphone,143.89
1004140,xiaomi,electronics.smartphone,117.87
1004143,xiaomi,electronics.smartphone,138.74
1004147,xiaomi,electronics.smartphone,92.64
1004149,xiaomi,electronics.smartphone,328.79
1004156,xiaomi,electronics.smartphone,149.30
1004158,samsung,electronics.smartphone,733.61
