item_id,source_platform,source_product_id,source_url,public_title,public_brand,public_category,public_price,search_keyword,rank,candidate_source
1001588,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,meizu electronics.smartphone,1,jd_search
1001588,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,meizu electronics.smartphone,2,jd_search
1002101,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,samsung electronics.smartphone,1,jd_search
1002101,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,samsung electronics.smartphone,2,jd_search
1002482,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,meizu electronics.smartphone,1,jd_search
1002482,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,meizu electronics.smartphone,2,jd_search
1002524,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,apple electronics.smartphone,1,jd_search
1002524,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,apple electronics.smartphone,2,jd_search
1002528,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,apple electronics.smartphone,1,jd_search
1002528,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,apple electronics.smartphone,2,jd_search
1002532,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,apple electronics.smartphone,1,jd_search
1002532,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,apple electronics.smartphone,2,jd_search
1002536,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,apple electronics.smartphone,1,jd_search
1002536,jd,200099998888,https://item.jd.com/200099998888.html,Beauty care lotion,Other Shop,,68.00,apple electronics.smartphone,2,jd_search
1002542,jd,100012043978,https://item.jd.com/100012043978.html,Shiseido skincare essence,Shiseido Official,,36.50,apple electronics.smartphone,1,jd_search
